GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinanzApp,com.example.FinanzApp.Config,ExceptionHandling,32,3,2,0,8,1,2,1,1,1
FinanzApp,com.example.FinanzApp.Config,AppConfig,0,7,0,0,0,2,0,2,0,2
FinanzApp,com.example.FinanzApp.Config,JwtAutenticationFilter,52,0,0,0,13,0,2,0,2,0
FinanzApp,com.example.FinanzApp.Config,JwtAuthorizationFilter,45,3,6,0,10,1,4,1,1,1
FinanzApp,com.example.FinanzApp.Config,WebClientConfig,0,5,0,0,0,2,0,2,0,2
FinanzApp,com.example.FinanzApp.Config,JwtUtils,137,3,4,0,38,1,12,1,10,1
FinanzApp,com.example.FinanzApp.Config,ModelMapperConfig,0,7,0,0,0,2,0,2,0,2
FinanzApp,com.example.FinanzApp.Config,OpenAPIConfig,0,28,0,0,0,8,0,2,0,2
FinanzApp,com.example.FinanzApp.Config,SecurityConfig,0,96,0,0,0,20,0,6,0,6
FinanzApp,com.example.FinanzApp.Controladores,ControladorRecordatorio,77,7,6,0,21,2,9,2,6,2
FinanzApp,com.example.FinanzApp.Controladores,ControladorConsejos,26,7,2,0,7,2,3,2,2,2
FinanzApp,com.example.FinanzApp.Controladores,ControladorDeposito,64,3,8,0,18,1,9,1,5,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorLogin,14,3,2,0,4,1,2,1,1,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorIngreso,144,7,22,0,38,2,21,2,10,2
FinanzApp,com.example.FinanzApp.Controladores,ControladorAlcancia,48,3,6,0,14,1,7,1,4,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorUsuario,31,7,4,0,8,2,4,2,2,2
FinanzApp,com.example.FinanzApp.Controladores,PasswordController,81,3,6,0,17,1,5,1,2,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorCalificacion,26,3,4,0,8,1,4,1,2,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorAlerta,59,3,4,0,12,1,8,1,6,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorTips,8,3,0,0,2,1,1,1,1,1
FinanzApp,com.example.FinanzApp.Controladores,ControladorGasto,278,7,36,0,76,2,40,2,22,2
FinanzApp,com.example.FinanzApp,FinanzAppApplication,5,3,0,0,2,1,1,1,1,1
FinanzApp,com.example.FinanzApp.Entidades,ERole,0,15,0,0,0,3,0,1,0,1
FinanzApp,com.example.FinanzApp.Servicios,ServicioTips,0,132,0,2,0,24,0,5,0,4
FinanzApp,com.example.FinanzApp.Servicios,ServicioLogin,0,64,0,0,0,12,0,2,0,2
FinanzApp,com.example.FinanzApp.Servicios,ServicioIngreso,14,193,2,2,2,44,3,14,1,14
FinanzApp,com.example.FinanzApp.Servicios,ServicioRecordatorio,11,151,1,1,1,35,2,8,1,8
FinanzApp,com.example.FinanzApp.Servicios,EmailService,0,27,0,0,0,9,0,1,0,1
FinanzApp,com.example.FinanzApp.Servicios,ServicioAlcancia,11,145,1,1,1,33,2,7,1,7
FinanzApp,com.example.FinanzApp.Servicios,ServicioDeposito,30,200,1,1,1,42,6,6,5,6
FinanzApp,com.example.FinanzApp.Servicios,ServicioAlerta,12,159,1,1,1,35,2,9,1,9
FinanzApp,com.example.FinanzApp.Servicios,ServicioConsejos,0,40,0,0,0,8,0,3,0,3
FinanzApp,com.example.FinanzApp.Servicios,ServicioUsuario,5,107,0,2,0,19,1,7,1,6
FinanzApp,com.example.FinanzApp.Servicios,ServicioGasto,16,397,1,3,1,79,3,32,2,31
FinanzApp,com.example.FinanzApp.Servicios,ServicioCalificacion,1,136,2,8,0,27,2,8,0,5
FinanzApp,com.example.FinanzApp.Components,CodigoGenerador,25,8,2,0,4,2,2,1,1,1
FinanzApp,com.example.FinanzApp.Components,GeminiAdapter,114,3,16,0,17,1,9,1,1,1
